Estimator,Permuted,ev,fold,imputation_strategy,mae,model_testing,mse,r2_score,target,variable,visit
RandomForest,no,0.6724184901275129,13,median,3.364054847245609,generalization,17.915614160211693,0.672333514801847,Age,Life style (LS),third
RandomForest,no,0.6738370189715972,14,median,3.3558479672841,generalization,17.836478933846525,0.6737808534890142,Age,Life style (LS),third
RandomForest,no,0.6716889090093056,15,median,3.3650026461390428,generalization,17.95091790040895,0.6716878292919148,Age,Life style (LS),third
RandomForest,no,0.6725837777204177,16,median,3.3694321232046534,generalization,17.905668258680805,0.6725154197350304,Age,Life style (LS),third
RandomForest,no,0.6715836746658168,17,median,3.363176163095288,generalization,17.95782469496864,0.6715615079123003,Age,Life style (LS),third
RandomForest,no,0.6724283919604159,18,median,3.36808307538988,generalization,17.91066257966573,0.6724240764191692,Age,Life style (LS),third
RandomForest,no,0.6754125246566379,19,median,3.345674284339668,generalization,17.753118706759683,0.6753054650580401,Age,Life style (LS),third
RandomForest,no,0.6759936245999686,20,median,3.3419488714715584,generalization,17.718540811828948,0.6759378752671564,Age,Life style (LS),third
RandomForest,no,0.6741206760624154,21,median,3.3494445880763446,generalization,17.81866043172961,0.6741067438496757,Age,Life style (LS),third
RandomForest,no,0.6736501501403636,22,median,3.354856392114169,generalization,17.848984629648676,0.6735521313613883,Age,Life style (LS),third
RandomForest,no,0.6717874237621455,23,median,3.364326196776522,generalization,17.948138045706038,0.6717386712676192,Age,Life style (LS),third
RandomForest,no,0.670554871399339,24,median,3.3723743083954774,generalization,18.013167257156606,0.6705493236426556,Age,Life style (LS),third
RandomForest,no,0.6757822213338331,25,median,3.346029348087563,generalization,17.72725303439981,0.6757785336268125,Age,Life style (LS),third
RandomForest,no,0.6717801793079212,26,median,3.3651931083899487,generalization,17.946642779312352,0.6717660188471816,Age,Life style (LS),third
RandomForest,no,0.6729592009564744,27,median,3.3608679336059666,generalization,17.881762147702673,0.6729526490305997,Age,Life style (LS),third
RandomForest,no,0.6758155533349213,28,median,3.3467327399567,generalization,17.727781696415683,0.6757688646965123,Age,Life style (LS),third
RandomForest,no,0.6760951489236362,29,median,3.341273916842268,generalization,17.711273429193792,0.6760707915994326,Age,Life style (LS),third
RandomForest,no,0.6752349838028741,30,median,3.3479528506134217,generalization,17.763808477267258,0.6751099551805406,Age,Life style (LS),third
RandomForest,no,0.6768617576023945,31,median,3.344283699941294,generalization,17.670244004937015,0.6768211966436415,Age,Life style (LS),third
RandomForest,no,0.6731203814414963,32,median,3.3575669741512826,generalization,17.877921856832774,0.6730228857861039,Age,Life style (LS),third
RandomForest,no,0.6754689958739993,33,median,3.347835021996067,generalization,17.748143846334113,0.6753964524512392,Age,Life style (LS),third
RandomForest,no,0.6742545003101758,34,median,3.3607106199314423,generalization,17.811910232201594,0.6742302011944228,Age,Life style (LS),third
RandomForest,no,0.6723380096802967,35,median,3.362814340969523,generalization,17.916713342755802,0.6723134113726484,Age,Life style (LS),third
RandomForest,no,0.6722211067819084,36,median,3.3667802627049865,generalization,17.921983560091086,0.6722170220680428,Age,Life style (LS),third
RandomForest,no,0.6731587005829607,37,median,3.361408708203032,generalization,17.870498124609092,0.6731586616642309,Age,Life style (LS),third
RandomForest,no,0.674237991040511,38,median,3.3554900168390667,generalization,17.817169116189564,0.6741340191703518,Age,Life style (LS),third
RandomForest,no,0.6752770941701258,39,median,3.353410632667789,generalization,17.755760750541253,0.6752571435664125,Age,Life style (LS),third
RandomForest,no,0.6725856981129075,40,median,3.3635302677109653,generalization,17.902315206168648,0.672576745175594,Age,Life style (LS),third
RandomForest,no,0.6724412524582417,41,median,3.360690955278018,generalization,17.915536967246112,0.672334926617679,Age,Life style (LS),third
RandomForest,no,0.6731513342358172,42,median,3.3583435505242605,generalization,17.871466912056402,0.6731409430878581,Age,Life style (LS),third
RandomForest,no,0.6735627701226348,43,median,3.3586459082271167,generalization,17.849683627650343,0.6735393470819147,Age,Life style (LS),third
RandomForest,no,0.6754851848613928,44,median,3.3549906182343037,generalization,17.752004349290353,0.6753258460280681,Age,Life style (LS),third
RandomForest,no,0.6754643673798915,45,median,3.3560487772883403,generalization,17.744892572284574,0.6754559164210869,Age,Life style (LS),third
RandomForest,no,0.6737706525075124,46,median,3.353017453133033,generalization,17.839719690782758,0.673721581871241,Age,Life style (LS),third
RandomForest,no,0.6751482967988016,47,median,3.3465633870579747,generalization,17.76552828674525,0.6750785008345257,Age,Life style (LS),third
RandomForest,no,0.6720234822671101,48,median,3.358609574212172,generalization,17.933932389704122,0.6719984847091488,Age,Life style (LS),third
RandomForest,no,0.6738046920775284,49,median,3.3576637459094605,generalization,17.837287765381568,0.6737660604161206,Age,Life style (LS),third
RandomForest,no,0.6737138583538527,50,median,3.3588073594609136,generalization,17.84035216789564,0.6737100142213298,Age,Life style (LS),third
RandomForest,no,0.6722744322646207,51,median,3.367144283760616,generalization,17.920526790096623,0.6722436655701611,Age,Life style (LS),third
RandomForest,no,0.6740388957238591,52,median,3.3537711637837897,generalization,17.822851904422915,0.6740300841765583,Age,Life style (LS),third
RandomForest,no,0.6726301119018891,53,median,3.3635336816765973,generalization,17.903141884259085,0.6725616256992611,Age,Life style (LS),third
RandomForest,no,0.674922733605531,54,median,3.352977569426203,generalization,17.776848477497914,0.6748714609260678,Age,Life style (LS),third
RandomForest,no,0.6724475551430351,55,median,3.3641578061101765,generalization,17.91062884580226,0.6724246933925186,Age,Life style (LS),third
RandomForest,no,0.6742305719281785,56,median,3.3524204955496746,generalization,17.812605579023334,0.6742174836929721,Age,Life style (LS),third
RandomForest,no,0.6726878119743708,57,median,3.362675690534637,generalization,17.89676314802348,0.672678289189758,Age,Life style (LS),third
RandomForest,no,0.6753298850656737,58,median,3.3500385905986496,generalization,17.757668990743273,0.6752222429286605,Age,Life style (LS),third
RandomForest,no,0.6738564020070139,59,median,3.3621275079323585,generalization,17.833382232160844,0.6738374904174487,Age,Life style (LS),third
RandomForest,no,0.6730482019632363,60,median,3.361624248255954,generalization,17.87757612124128,0.6730292090952051,Age,Life style (LS),third
RandomForest,no,0.6719772598963363,61,median,3.365752300113542,generalization,17.93509505840997,0.671977220153835,Age,Life style (LS),third
RandomForest,no,0.6756309223664261,62,median,3.3487755592975703,generalization,17.738291602598032,0.6755766444361441,Age,Life style (LS),third
RandomForest,no,0.6769257596752385,63,median,3.341953297950793,generalization,17.667540690505138,0.6768706387409292,Age,Life style (LS),third
RandomForest,no,0.6732638442116349,64,median,3.3618301244793125,generalization,17.871792811563424,0.6731349825695616,Age,Life style (LS),third
RandomForest,no,0.6708478815427288,65,median,3.3662098170750445,generalization,17.998095414442993,0.6708249791509326,Age,Life style (LS),third
RandomForest,no,0.6742897428397938,66,median,3.357074813567477,generalization,17.810261492422413,0.6742603557157033,Age,Life style (LS),third
RandomForest,no,0.6731555291527578,67,median,3.361101756074092,generalization,17.875766335337985,0.6730623090593253,Age,Life style (LS),third
RandomForest,no,0.6715886476752538,68,median,3.369884344173419,generalization,17.964779672864584,0.6714343052866232,Age,Life style (LS),third
RandomForest,no,0.6722243637660752,69,median,3.3658229414892875,generalization,17.923984556244672,0.6721804249762169,Age,Life style (LS),third
RandomForest,no,0.6726406294728324,70,median,3.3655833637371257,generalization,17.903104851929285,0.6725623029997005,Age,Life style (LS),third
RandomForest,no,0.6746206088992529,71,median,3.351578747299245,generalization,17.791522332792212,0.674603084383372,Age,Life style (LS),third
RandomForest,no,0.6731350899158239,72,median,3.3595188838104404,generalization,17.872776382968485,0.6731169936029342,Age,Life style (LS),third
RandomForest,no,0.6736140151297745,73,median,3.3592802501804178,generalization,17.849266351695942,0.6735469788239311,Age,Life style (LS),third
RandomForest,no,0.6709263532692964,74,median,3.3688280190012128,generalization,17.996998496401496,0.6708450411636548,Age,Life style (LS),third
RandomForest,no,0.673551200044611,75,median,3.3617753187394763,generalization,17.852079022371907,0.6734955366625754,Age,Life style (LS),third
RandomForest,no,0.6740722839248623,76,median,3.353844677652708,generalization,17.82136443226808,0.6740572892038852,Age,Life style (LS),third
RandomForest,no,0.6728809929286532,77,median,3.3610558787093883,generalization,17.88872790959833,0.6728252491716462,Age,Life style (LS),third
RandomForest,no,0.6711246542594886,78,median,3.3715592975703634,generalization,17.98393632715901,0.6710839408768587,Age,Life style (LS),third
RandomForest,no,0.6752077454870922,79,median,3.3473840015254317,generalization,17.759300129032823,0.6751924103287046,Age,Life style (LS),third
RandomForest,no,0.6749606927152898,80,median,3.3480544736580384,generalization,17.77473136395744,0.6749101817394527,Age,Life style (LS),third
RandomForest,no,0.6716595318972796,81,median,3.3721774464408765,generalization,17.95302861303233,0.6716492255476959,Age,Life style (LS),third
