Estimator,Permuted,ev,fold,mae,modality,model_testing,mse,r2_score,target
RandomForest,no,0.4977382519778351,63,3.939023572522048,"sMRI, dMRI, fMRI (full MRI)",validation,24.05833472788849,0.4976629285651145,Age
RandomForest,no,0.5047025963842414,63,4.014487044891433,"sMRI, dMRI, fMRI (full MRI)",generalization,24.49174283893452,0.5046770952212991,Age
RandomForest,no,0.5114548306299047,64,4.0865935162094775,"sMRI, dMRI, fMRI (full MRI)",validation,25.080847521197015,0.5100364315015071,Age
RandomForest,no,0.5042202169211959,64,4.023561876247505,"sMRI, dMRI, fMRI (full MRI)",generalization,24.518255133732534,0.5041409085171491,Age
RandomForest,no,0.4392697729197995,65,4.188608478802991,"sMRI, dMRI, fMRI (full MRI)",validation,27.881495461346635,0.4363062136100061,Age
RandomForest,no,0.5026726197859184,65,4.026447105788424,"sMRI, dMRI, fMRI (full MRI)",generalization,24.59085654291417,0.5026726119927503,Age
RandomForest,no,0.4798765431183646,66,4.1575162094763085,"sMRI, dMRI, fMRI (full MRI)",validation,26.81130290274314,0.479862647665472,Age
RandomForest,no,0.5035316766888469,66,4.019141716566866,"sMRI, dMRI, fMRI (full MRI)",generalization,24.54860812774451,0.5035270472145208,Age
RandomForest,no,0.4652549912697528,67,4.128329177057357,"sMRI, dMRI, fMRI (full MRI)",validation,27.117199840399003,0.4652318383683982,Age
RandomForest,no,0.5020506083057611,67,4.033269461077844,"sMRI, dMRI, fMRI (full MRI)",generalization,24.622104790419165,0.5020406450141157,Age
RandomForest,no,0.4491451673152059,68,4.147495519621542,"sMRI, dMRI, fMRI (full MRI)",validation,26.219475008919826,0.4489829731988786,Age
RandomForest,no,0.5049463658997742,68,4.013449437987892,"sMRI, dMRI, fMRI (full MRI)",generalization,24.480361917393108,0.5049072638603391,Age
RandomForest,no,0.4410502067289708,69,4.199967779726443,"sMRI, dMRI, fMRI (full MRI)",validation,26.831496165621648,0.4373989209758729,Age
RandomForest,no,0.5035635116877153,69,4.026602116760507,"sMRI, dMRI, fMRI (full MRI)",generalization,24.552976958748694,0.5034386916377981,Age
RandomForest,no,0.4599196412078285,70,4.342213205263758,"sMRI, dMRI, fMRI (full MRI)",validation,29.04338259276691,0.4546035206659394,Age
RandomForest,no,0.5025216136829214,70,4.026395256572264,"sMRI, dMRI, fMRI (full MRI)",generalization,24.598325419796023,0.502521560848008,Age
