,Data type,Estimator,Permuted,ev,fold,imputation_strategy,mae,model_testing,mse,r2_score,target,variable
153,Imaging & Non-imaging,RandomForest,no,0.6709017695613264,76,median,3.195784546633365,generalization,16.272826930491348,0.6708970873498401,Age,Life style (LS)
154,Imaging & Non-imaging,RandomForest,no,0.6935319393857625,77,median,3.096008500836538,validation,14.968288331594653,0.6831322047149853,Age,Life style (LS)
155,Imaging & Non-imaging,RandomForest,no,0.6716650751436548,77,median,3.1978137236627484,generalization,16.243725510767764,0.6714856367170888,Age,Life style (LS)
156,Imaging & Non-imaging,RandomForest,no,0.6418420012676254,78,median,3.3338020174694134,validation,16.97343025085385,0.6411018219353979,Age,Life style (LS)
157,Imaging & Non-imaging,RandomForest,no,0.6702704869938938,78,median,3.2008500976090204,generalization,16.30805471003062,0.6701846380070129,Age,Life style (LS)
158,Imaging & Non-imaging,RandomForest,no,0.6916539416563445,79,median,3.1044649909149995,validation,14.964683688203818,0.6897227336809524,Age,Life style (LS)
159,Imaging & Non-imaging,RandomForest,no,0.673447166072809,79,median,3.190196457999752,generalization,16.151280371556062,0.6733552543750947,Age,Life style (LS)
160,Imaging & Non-imaging,RandomForest,no,0.6928069434077635,80,median,3.2073117206982538,validation,15.50824510723192,0.6925739259512027,Age,Life style (LS)
161,Imaging & Non-imaging,RandomForest,no,0.6735987640833483,80,median,3.19675249500998,generalization,16.13957436327345,0.673591997593576,Age,Life style (LS)
162,Imaging & Non-imaging,RandomForest,no,0.696124947668338,81,median,3.066145816912938,validation,14.185698224195306,0.6954910030408751,Age,Life style (LS)
163,Imaging & Non-imaging,RandomForest,no,0.6743182610845864,81,median,3.183877485017997,generalization,16.103848940694046,0.6743145113078042,Age,Life style (LS)
164,Imaging & Non-imaging,RandomForest,no,0.6737089645491414,82,median,3.2879501246882787,validation,16.045262004987528,0.6722239812935653,Age,Life style (LS)
165,Imaging & Non-imaging,RandomForest,no,0.6717452911959458,82,median,3.1948792415169662,generalization,16.231004642714574,0.6717429045382011,Age,Life style (LS)
166,Imaging & Non-imaging,RandomForest,no,0.6744828163173849,83,median,3.1977156824308257,validation,16.19917801249558,0.6729812856776431,Age,Life style (LS)
167,Imaging & Non-imaging,RandomForest,no,0.6699974388045098,83,median,3.1993491676777484,generalization,16.317326448049627,0.6699971256589483,Age,Life style (LS)
168,Imaging & Non-imaging,RandomForest,no,0.6403841727072233,84,median,3.184229426433915,validation,15.938027690773065,0.6384650968436716,Age,Life style (LS)
169,Imaging & Non-imaging,RandomForest,no,0.6735077900403913,84,median,3.1955788423153697,generalization,16.14683798003992,0.6734450976453108,Age,Life style (LS)
170,Imaging & Non-imaging,RandomForest,no,0.6150635848104193,85,median,3.2707132169576054,validation,17.049906234413964,0.6113463726878327,Age,Life style (LS)
171,Imaging & Non-imaging,RandomForest,no,0.6735256277178409,85,median,3.1877754491017964,generalization,16.145328123752495,0.6734756330958502,Age,Life style (LS)
172,Imaging & Non-imaging,RandomForest,no,0.6847247722767815,86,median,3.1249213620287617,validation,15.743833485399664,0.6834044318097034,Age,Life style (LS)
173,Imaging & Non-imaging,RandomForest,no,0.6713838146424189,86,median,3.1921554821994174,generalization,16.248760363653915,0.6713838114622221,Age,Life style (LS)
174,Imaging & Non-imaging,RandomForest,no,0.6669795928808331,87,median,3.1684028375396025,validation,15.396870856732138,0.6668922206752611,Age,Life style (LS)
175,Imaging & Non-imaging,RandomForest,no,0.6719928374219426,87,median,3.1945879721455173,generalization,16.21872050972361,0.6719913397955768,Age,Life style (LS)
176,Imaging & Non-imaging,RandomForest,no,0.6470501968625058,88,median,3.3070174291053056,validation,17.276587982229135,0.6466986470293247,Age,Life style (LS)
177,Imaging & Non-imaging,RandomForest,no,0.6732370590450576,88,median,3.188970038454742,generalization,16.158025145182528,0.6732188475506924,Age,Life style (LS)
178,Imaging & Non-imaging,RandomForest,no,0.6861251830731124,89,median,3.23098492472943,validation,16.096508059862618,0.6849003263886491,Age,Life style (LS)
179,Imaging & Non-imaging,RandomForest,no,0.6726473471856906,89,median,3.1891858660880725,generalization,16.18869915847025,0.6725984939293592,Age,Life style (LS)
180,Imaging & Non-imaging,RandomForest,no,0.6625966157215203,90,median,3.0757474297845753,validation,14.885176336310506,0.6625906953915309,Age,Life style (LS)
181,Imaging & Non-imaging,RandomForest,no,0.6709638440694774,90,median,3.1981479953294616,generalization,16.270734971664673,0.6709393952872345,Age,Life style (LS)
182,Imaging & Non-imaging,RandomForest,no,0.6842752613375723,91,median,3.3006684772514965,validation,15.901889359288996,0.6822223619940581,Age,Life style (LS)
