Estimator,Permuted,ev,fold,imputation_strategy,mae,model_testing,mse,r2_score,target,variable
RandomForest,no,0.654282806088231,71,median,3.3778753117206985,validation,17.851491271820446,0.6538923847918655,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6773112304263376,71,median,3.16698502994012,generalization,15.9559837245509,0.6773049488955826,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6509886109850896,72,median,3.3152917705735665,validation,17.24344578553616,0.6509215016516233,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6707817984496183,72,median,3.204107784431138,generalization,16.279876199600803,0.6707545223851981,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6624131403441453,73,median,3.308119488809907,validation,16.539771903439213,0.6621318145197645,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6713360098104142,73,median,3.2019258549673872,generalization,16.253109454238366,0.6712958551172776,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6320217864326021,74,median,3.353010205048317,validation,17.382656235918635,0.6313214129555937,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6706019360847619,74,median,3.196235306599218,generalization,16.287658765009766,0.670597127179379,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6950939253187322,75,median,3.168697564085814,validation,15.650479998860867,0.6950456212263421,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6755026832650435,75,median,3.175224298778623,generalization,16.046699676156965,0.6754703024616894,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6767185135271214,76,median,3.3278140248811234,validation,17.71641725454002,0.6765463967133365,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6712271385301811,76,median,3.193732015482801,generalization,16.256797470739773,0.6712212683858081,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6930568676018308,77,median,3.0948742922949646,validation,14.988515006327924,0.6827040206977686,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6721513368204062,77,median,3.1970627421974043,generalization,16.218708902528856,0.6719915745403828,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6424551243666465,78,median,3.329111399866284,validation,16.952831087608462,0.6415373851685899,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6709432413896583,78,median,3.1955129702423077,generalization,16.275433074935695,0.6708443804826754,Age,"EL, EDU, LS, MH"
RandomForest,no,0.6908669127679263,79,median,3.0981578391380284,validation,14.999087189104012,0.6890094126089186,Age,"EL, EDU, LS, MH"
