Estimator,Permuted,Type,fold,group,model_testing,roc,target
RandomForest,no,Non-imaging,73,low vs high,validation,0.8058441558441558,Neuroticism
RandomForest,no,Non-imaging,73,low vs high,generalization,0.7662647119168858,Neuroticism
RandomForest,no,Non-imaging,74,low vs high,validation,0.8105394651614695,Neuroticism
RandomForest,no,Non-imaging,74,low vs high,generalization,0.7778491224143397,Neuroticism
RandomForest,no,Non-imaging,75,low vs high,validation,0.7743411927877947,Neuroticism
RandomForest,no,Non-imaging,75,low vs high,generalization,0.7730182045399437,Neuroticism
RandomForest,no,Non-imaging,76,low vs high,validation,0.7467844915332654,Neuroticism
RandomForest,no,Non-imaging,76,low vs high,generalization,0.7667478037043255,Neuroticism
RandomForest,no,Non-imaging,77,low vs high,validation,0.7836800739713361,Neuroticism
RandomForest,no,Non-imaging,77,low vs high,generalization,0.7720632122806036,Neuroticism
RandomForest,no,Non-imaging,78,low vs high,validation,0.7133580705009276,Neuroticism
RandomForest,no,Non-imaging,78,low vs high,generalization,0.7638525171133866,Neuroticism
RandomForest,no,Non-imaging,79,low vs high,validation,0.7889967637540454,Neuroticism
RandomForest,no,Non-imaging,79,low vs high,generalization,0.7759204857030945,Neuroticism
RandomForest,no,Non-imaging,80,low vs high,validation,0.7684601113172541,Neuroticism
RandomForest,no,Non-imaging,80,low vs high,generalization,0.7691637289463377,Neuroticism
RandomForest,no,Non-imaging,81,low vs high,validation,0.7877777777777778,Neuroticism
RandomForest,no,Non-imaging,81,low vs high,generalization,0.7657881483968441,Neuroticism
RandomForest,no,Non-imaging,82,low vs high,validation,0.777037037037037,Neuroticism
RandomForest,no,Non-imaging,82,low vs high,generalization,0.7710970287057243,Neuroticism
RandomForest,no,Non-imaging,83,low vs high,validation,0.7259615384615385,Neuroticism
RandomForest,no,Non-imaging,83,low vs high,generalization,0.7764143025012591,Neuroticism
RandomForest,no,Non-imaging,84,low vs high,validation,0.8023126219002509,Neuroticism
RandomForest,no,Non-imaging,84,low vs high,generalization,0.766760393934307,Neuroticism
RandomForest,no,Non-imaging,85,low vs high,validation,0.7638104931988526,Neuroticism
RandomForest,no,Non-imaging,85,low vs high,generalization,0.7730321936843675,Neuroticism
RandomForest,no,Non-imaging,86,low vs high,validation,0.8126159554730983,Neuroticism
RandomForest,no,Non-imaging,86,low vs high,generalization,0.7653003935612631,Neuroticism
RandomForest,no,Non-imaging,87,low vs high,validation,0.7686202686202687,Neuroticism
RandomForest,no,Non-imaging,87,low vs high,generalization,0.769649618562662,Neuroticism
RandomForest,no,Non-imaging,88,low vs high,validation,0.8061441658184509,Neuroticism
RandomForest,no,Non-imaging,88,low vs high,generalization,0.7662703075746554,Neuroticism
RandomForest,no,Non-imaging,89,low vs high,validation,0.8125231224565298,Neuroticism
RandomForest,no,Non-imaging,89,low vs high,generalization,0.7706144032230988,Neuroticism
